event_id,time,latitude,longitude,depth_km,magnitude,magnitude_type,region
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsr&format=quakeml,2023-02-06 03:16:16.646000+00:00,38.0715,38.4951,17.34,4.3,mb,"11 km WNW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrj&format=quakeml,2023-02-06 03:19:15.155000+00:00,37.733,37.4257,10.0,4.0,mb,"12 km E of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrl&format=quakeml,2023-02-06 03:22:44.992000+00:00,38.1446,38.558,12.514,4.3,mb,"12 km NNW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrh&format=quakeml,2023-02-06 03:24:30.161000+00:00,37.9268,37.8357,5.884,4.4,mb,"16 km NNW of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jln5&format=quakeml,2023-02-06 03:28:45.962000+00:00,38.0773,38.5775,16.819,4.4,mb,"5 km NW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnri&format=quakeml,2023-02-06 03:30:00.256000+00:00,37.0297,36.7506,10.0,4.2,mb,"15 km S of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns6&format=quakeml,2023-02-06 03:35:39.215000+00:00,38.2368,38.5132,9.221,4.2,mb,"21 km SE of Malatya, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsv&format=quakeml,2023-02-06 03:41:28.306000+00:00,37.2442,37.1335,15.704,4.3,mb,"30 km NW of Gaziantep, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jln9&format=quakeml,2023-02-06 03:45:48.353000+00:00,38.1656,38.65,16.431,4.8,mb,"14 km NNE of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrm&format=quakeml,2023-02-06 03:54:00.586000+00:00,37.7604,37.4251,14.46,4.3,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrr&format=quakeml,2023-02-06 03:55:10.580000+00:00,37.3982,36.8946,10.0,4.2,mb,"20 km S of Kahramanmara?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrn&format=quakeml,2023-02-06 03:58:19.868000+00:00,36.6427,36.426,10.0,4.3,mb,"17 km NNE of K?r?khan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnc&format=quakeml,2023-02-06 04:04:22.647000+00:00,37.8315,37.3919,5.017,4.4,mb,"13 km NE of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvn&format=quakeml,2023-02-06 04:05:15.992000+00:00,37.7658,37.4588,10.0,4.1,mb,"15 km E of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrp&format=quakeml,2023-02-06 04:05:56.670000+00:00,37.0844,36.9133,12.1,4.2,mb,"18 km ESE of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlne&format=quakeml,2023-02-06 04:14:17.612000+00:00,38.1847,38.6102,9.958,4.4,mb,"16 km N of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnd&format=quakeml,2023-02-06 04:16:49.374000+00:00,37.5236,37.2784,11.788,4.5,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnf&format=quakeml,2023-02-06 04:18:46.986000+00:00,38.1845,38.5342,16.416,5.0,mb,"17 km NNW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvd&format=quakeml,2023-02-06 04:24:45.154000+00:00,37.555,37.2001,13.385,4.1,mb,"11 km NW of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrs&format=quakeml,2023-02-06 04:31:02.298000+00:00,37.2919,36.8854,12.932,4.3,mb,"19 km NE of Nurda??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsd&format=quakeml,2023-02-06 04:31:23.899000+00:00,36.3649,36.4413,10.0,4.4,mb,"2 km NE of Uzunkavak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnq&format=quakeml,2023-02-06 04:39:47.868000+00:00,37.7907,37.4444,17.034,4.3,mb,"14 km ENE of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlns&format=quakeml,2023-02-06 04:47:57.170000+00:00,36.7176,36.4733,10.0,4.5,mb,"9 km SSW of Hassa, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnu&format=quakeml,2023-02-06 04:56:05.491000+00:00,37.4609,37.1603,16.174,4.5,mb,"12 km WSW of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnv&format=quakeml,2023-02-06 05:01:50.591000+00:00,37.7898,37.8568,16.551,4.6,mb,"5 km W of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvb&format=quakeml,2023-02-06 05:04:31.901000+00:00,37.3768,37.0793,11.165,4.2,mb,"23 km WSW of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrx&format=quakeml,2023-02-06 05:12:52.692000+00:00,37.4966,37.1888,5.336,4.4,mb,"9 km W of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrv&format=quakeml,2023-02-06 05:16:55.953000+00:00,37.7999,37.7821,10.0,4.1,mb,"11 km W of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnrw&format=quakeml,2023-02-06 05:19:48.566000+00:00,38.0197,38.3054,10.0,4.1,mb,"6 km E of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnx&format=quakeml,2023-02-06 05:22:44.551000+00:00,37.3082,37.7106,10.0,4.4,mb,"12 km E of Yavuzeli, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlnz&format=quakeml,2023-02-06 05:31:22.169000+00:00,38.0053,38.042,10.0,4.4,mb,"17 km W of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns2&format=quakeml,2023-02-06 05:33:10.998000+00:00,38.0957,38.2361,15.345,4.6,mb,"7 km N of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns0&format=quakeml,2023-02-06 05:35:21.339000+00:00,36.4188,36.2183,10.0,4.4,mb,"6 km N of Serinyol, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlp0&format=quakeml,2023-02-06 05:36:33.636000+00:00,36.2975,36.2085,13.032,4.6,mb,"1 km N of Büyük Dalyan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnss&format=quakeml,2023-02-06 05:40:38.044000+00:00,37.9116,38.2366,19.278,4.5,mb,"12 km S of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns1&format=quakeml,2023-02-06 05:43:49.888000+00:00,36.2606,36.2043,10.0,4.6,mb,"3 km S of Büyük Dalyan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnvf&format=quakeml,2023-02-06 05:44:55.583000+00:00,36.3265,36.4042,10.0,4.4,mb,Turkey-Syria border region
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlp1&format=quakeml,2023-02-06 05:55:49.697000+00:00,37.9201,38.4457,10.0,4.5,mb,"19 km SW of Sincik, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns3&format=quakeml,2023-02-06 06:14:38.909000+00:00,37.4072,36.9513,10.0,4.3,mb,"19 km S of Kahramanmara?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns4&format=quakeml,2023-02-06 06:18:02.484000+00:00,38.1199,38.3761,10.0,4.4,mb,"16 km NE of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlsg&format=quakeml,2023-02-06 06:26:28.168000+00:00,37.3961,37.1506,10.0,4.6,mb,"16 km SW of Pazarc?k, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnwh&format=quakeml,2023-02-06 06:27:52.742000+00:00,38.0564,38.2173,10.0,4.5,mb,"3 km NNW of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlp9&format=quakeml,2023-02-06 06:54:57.430000+00:00,37.6427,37.394,10.0,4.8,mwr,"14 km SE of Ça?layancerit, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jns8&format=quakeml,2023-02-06 06:59:05.328000+00:00,37.47,37.0824,19.154,4.2,mb,"18 km SE of Kahramanmara?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlpb&format=quakeml,2023-02-06 07:08:32.392000+00:00,36.7139,36.4459,11.457,4.5,mb,"11 km SW of Hassa, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnte&format=quakeml,2023-02-06 07:10:09.617000+00:00,36.595,36.3297,10.0,4.2,mb,"10 km NNW of K?r?khan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsc&format=quakeml,2023-02-06 07:24:13.862000+00:00,36.7978,36.2602,10.0,4.3,mb,"5 km SSE of Dörtyol, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlpi&format=quakeml,2023-02-06 07:41:14.046000+00:00,37.8718,38.0812,10.0,4.6,mb,eastern Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlpp&format=quakeml,2023-02-06 08:01:47.818000+00:00,36.6219,36.4225,10.0,4.5,mb,"14 km NNE of K?r?khan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsq&format=quakeml,2023-02-06 08:26:39.492000+00:00,36.1795,35.9229,10.0,4.0,mb,"11 km WNW of Uzunba?, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlpv&format=quakeml,2023-02-06 08:52:37.361000+00:00,37.4633,37.2102,10.0,4.8,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlpx&format=quakeml,2023-02-06 08:58:34.938000+00:00,38.0402,38.2553,11.354,4.5,mb,"2 km NE of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlq2&format=quakeml,2023-02-06 09:21:01.495000+00:00,37.7583,37.9812,17.065,4.5,mb,"7 km SE of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlq1&format=quakeml,2023-02-06 09:23:45.448000+00:00,36.9214,36.427,10.0,4.6,mb,"15 km NNW of Hassa, Turkey"
